No,Business Name,Country,Niche,Website,Observed Issue,Contact Method,Status,First Message Date,Follow-up Date,Interest Level,Recommended Package,Notes
1,KAI Japanese Language School,Japan,Japanese Language School,https://www.kaij.jp/,"Strong school brand, but homepage messaging could be simplified for multilingual conversion.",Website contact form,Not Contacted,,,Medium,Starter,"Good fit for multilingual copy polish."
2,Tokyo International Japanese School,Japan,Japanese Language School,https://tijs.co.jp/en/,"Clear service offer, but CTA hierarchy and landing-page conversion language could be improved.",Website contact form,Not Contacted,,,Medium,Growth,"Good fit for homepage and admissions page polish."
3,Japanese Language School Affiliated with Tokyo International University,Japan,Japanese Language School,https://www.jpschool.ac.jp/en/,"International audience is broad; AI-assisted content workflow could support clearer route-based messaging.",Website contact form,Not Contacted,,,Medium,Growth,"Potential fit for structured multilingual content support."
4,Nipponcademy,Japan,Study Abroad / Language Support,https://nipponcademy.jp/,"Messaging can be sharpened around service clarity and multilingual student guidance.",Website contact form,Not Contacted,,,Medium,Starter,"Potential fit for landing-page wording refresh."
5,Tokyo Coding Club,Japan,Coding School,https://tokyocodingclub.com/,"Opportunity to tighten program messaging and parent/student CTA flow.",Website contact form,Not Contacted,,,High,Growth,"Good fit for education-focused copy + CTA polish."
6,Code Chrysalis,Japan,Engineering Education,https://www.codechrysalis.io/,"Strong product but room for offer segmentation and support-page clarity.",Website contact form,Not Contacted,,,Low,Growth,"Higher-end target."
7,Go! Go! Nihon,Japan,Study in Japan Support,https://gogonihon.com/en/,"Large multilingual operation; potential value in workflow support and page-specific clarity audits.",Website contact form,Not Contacted,,,Low,Monthly Support,"Bigger org; lower priority for first outreach."
8,ISI Japanese Language School,Japan,Japanese Language School,https://www.isi-education.com/,"Large site with multilingual complexity; strong candidate for page-level copy audits.",Website contact form,Not Contacted,,,Low,Monthly Support,"Enterprise-like target."
9,Shinjuku Japanese Language Institute,Japan,Japanese Language School,https://www.sng.ac.jp/en/,"Could benefit from CTA consistency and clearer user-path messaging.",Website contact form,Not Contacted,,,Medium,Starter,"Good mid-tier target."
10,Coto Academy,Japan,Japanese Language School,https://cotoacademy.com/,"High-content site with room for conversion-focused support pages and multilingual workflow ideas.",Website contact form,Not Contacted,,,Low,Monthly Support,"Content-heavy target."
11,Brilliant Educational Institute,Myanmar,Education / Training,https://www.brilliant-edu.org/,"Clear mission, but website copy can be made more conversion-ready and program-focused.",Website contact form,Not Contacted,,,High,Starter,"Strong fit for education-sector website polish."
12,Center for Vocational Training (CVT),Myanmar,Vocational / Education,https://www.cvtmyanmar.com/english/,"Useful program structure, but service-page clarity and multilingual messaging could improve.",Website contact form,Not Contacted,,,Medium,Growth,"Good fit for 2-3 page rewrite."
13,J Connect Myanmar,Myanmar,Japanese Language / Job Support,https://jconnectmyn.com/,"Strong service fit with Japanese-language pathways; messaging and CTA refinement could help.",Facebook / website form,Not Contacted,,,High,Growth,"High-fit niche."
14,Unique English Language Centre,Myanmar,Language School,https://www.uniqueuelcygn.com/,"Homepage copy can likely be simplified for stronger conversion and course clarity.",Website contact form,Not Contacted,,,High,Starter,"Good first-outreach prospect."
15,Marya,Myanmar,Ecommerce / Lifestyle Retail,https://www.marya.com.mm/,"Ecommerce storytelling and homepage CTA flow could be cleaner.",Website contact form,Not Contacted,,,Medium,Growth,"Good fit for ecommerce messaging support."
16,Eccentric Myanmar,Myanmar,Retail / Ecommerce,https://www.eccentricmyanmar.com/,"Product discovery and conversion copy could likely be clearer for shoppers.",Website contact form,Not Contacted,,,Medium,Growth,"Retail-focused prospect."
17,Shop.com.mm,Myanmar,Ecommerce Marketplace,https://shop.com.mm/,"Large ecommerce structure; may benefit from category messaging and landing-page clarity audits.",Website contact form,Not Contacted,,,Low,Monthly Support,"Bigger org; lower priority."
18,Myanmore,Myanmar,Media / Local Guide,https://www.myanmore.com/yangon/,"High-content site with room for multilingual/local CTA experiments and SEO content workflow.",Website contact form,Not Contacted,,,Low,Monthly Support,"Content-focused target."
19,Mingalarbar Myanmar,Myanmar,Travel / Local Services,https://www.myanmar.com/,"Could benefit from cleaner visitor messaging and stronger action paths.",Website contact form,Not Contacted,,,Medium,Starter,"Travel/content site prospect."
20,365myanmar,Myanmar,Ecommerce / Marketplace,https://365myanmar.com/,"Potential value in ecommerce copy clarity, trust messaging, and category CTA cleanup.",Website contact form,Not Contacted,,,Medium,Growth,"Marketplace-style prospect."
